__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_9_repetition_13,DONE,replace,Modin,Small,6.097,0.223,61.6,11140404317.091
run_54_repetition_12,DONE,dropna,Polars,Large,1.234,3.926,57.0,11540632917.333
run_29_repetition_0,DONE,sort,Pandas,Small,0.933,5.282,68.1,10898656460.8
run_6_repetition_3,DONE,isna,Polars,Large,1.849,1.241,62.9,11906508800.0
run_4_repetition_19,DONE,isna,Pandas,Large,55.922,0.031,66.1,13321126240.344
run_41_repetition_1,DONE,drop,Modin,Small,6.398,0.207,75.4,11393809007.304
run_47_repetition_14,DONE,drop,Polars,Small,0.323,6.041,73.1,11248730112.0
run_9_repetition_9,DONE,replace,Modin,Small,6.1,0.265,71.8,11930839226.182
run_48_repetition_14,DONE,dropna,Modin,Large,36.085,0.036,90.1,12421165089.851
run_18_repetition_9,DONE,groupby,Dask,Large,1.245,1.176,75.2,7500376746.667
run_7_repetition_3,DONE,isna,Polars,Small,0.326,4.467,78.4,8085946368.0
run_16_repetition_19,DONE,groupby,Modin,Large,19.918,0.072,83.0,11261475885.851
run_63_repetition_0,DONE,fillna,Polars,Small,0.326,21.407,77.0,8363753472.0
run_59_repetition_6,DONE,fillna,Dask,Small,1.556,1.223,64.8,9107526217.143
run_63_repetition_10,DONE,fillna,Polars,Small,0.316,6.221,66.8,9465151488.0
run_16_repetition_7,DONE,groupby,Modin,Large,14.469,0.094,74.8,11856826618.776
run_59_repetition_9,DONE,fillna,Dask,Small,1.248,1.997,77.9,9221584213.333
run_29_repetition_7,DONE,sort,Pandas,Small,0.64,9.2,76.4,9393889280.0
run_6_repetition_6,DONE,isna,Polars,Large,1.554,4.259,84.5,10606914998.857
run_5_repetition_19,DONE,isna,Pandas,Small,0.641,5.381,76.7,7871070208.0
run_17_repetition_10,DONE,groupby,Modin,Small,6.172,0.275,66.4,8709521408.0
run_29_repetition_15,DONE,sort,Pandas,Small,0.948,1.808,80.1,8535313612.8
run_32_repetition_5,DONE,mean,Modin,Large,15.0,0.095,76.6,11259178606.431
run_25_repetition_17,DONE,sort,Modin,Small,7.068,0.178,76.1,8601698304.0
run_44_repetition_9,DONE,drop,Pandas,Large,39.997,0.045,63.1,11884219919.515
run_17_repetition_17,DONE,groupby,Modin,Small,5.878,0.264,66.2,9102717903.238
run_57_repetition_6,DONE,fillna,Modin,Small,6.476,0.203,78.2,9469185513.739
run_25_repetition_14,DONE,sort,Modin,Small,6.727,0.211,81.4,9738510336.0
run_4_repetition_8,DONE,isna,Pandas,Large,43.463,0.043,78.8,10825111365.818
run_61_repetition_6,DONE,fillna,Pandas,Small,0.942,8.079,76.1,7818402201.6
run_57_repetition_11,DONE,fillna,Modin,Small,6.484,0.237,73.3,8738748326.957
run_60_repetition_7,DONE,fillna,Pandas,Large,537.07,0.003,71.5,11881185823.323
run_28_repetition_3,DONE,sort,Pandas,Large,76.78,0.022,66.2,10858618194.614
run_57_repetition_17,DONE,fillna,Modin,Small,6.765,0.213,65.5,8190746624.0
run_2_repetition_5,DONE,isna,Dask,Large,1.237,5.931,68.8,7854773589.333
run_47_repetition_16,DONE,drop,Polars,Small,0.335,9.751,79.8,8030792362.667
run_9_repetition_1,DONE,replace,Modin,Small,5.856,0.3,78.5,6681921828.571
run_1_repetition_3,DONE,isna,Modin,Small,6.168,0.258,66.9,6839876887.273
run_55_repetition_14,DONE,dropna,Polars,Small,0.319,25.404,61.3,6578307072.0
run_22_repetition_8,DONE,groupby,Polars,Large,0.631,12.578,66.8,7073251328.0
run_36_repetition_6,DONE,mean,Pandas,Large,2.475,0.826,73.9,8822238412.8
run_10_repetition_9,DONE,replace,Dask,Large,1.254,1.058,80.2,7127629824.0
run_36_repetition_9,DONE,mean,Pandas,Large,2.167,0.686,78.6,9249534407.111
run_45_repetition_0,DONE,drop,Pandas,Small,0.645,3.336,83.0,7558561792.0
run_22_repetition_13,DONE,groupby,Polars,Large,0.642,8.693,76.2,8347787264.0
run_53_repetition_8,DONE,dropna,Pandas,Small,0.646,5.904,76.7,7957606400.0
run_41_repetition_2,DONE,drop,Modin,Small,6.174,0.299,66.3,8560441902.545
run_0_repetition_6,DONE,isna,Modin,Large,22.374,0.067,60.7,10222618105.173
run_55_repetition_13,DONE,dropna,Polars,Small,0.32,24.935,76.2,6291122858.667
run_27_repetition_17,DONE,sort,Dask,Small,1.24,3.727,74.5,6595013290.667
run_54_repetition_19,DONE,dropna,Polars,Large,0.949,3.158,76.3,6984096153.6
run_8_repetition_4,DONE,replace,Modin,Large,37.12,0.041,69.3,11260484233.366
run_60_repetition_19,DONE,fillna,Pandas,Large,522.538,0.003,67.5,11732682495.548
run_34_repetition_18,DONE,mean,Dask,Large,2.144,1.517,73.6,7260101745.778
