Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729876411634,3228,3228,3228,3228,3228,3228,3228,3228,51.2553596496582,47.22975540161133,52.104331970214844,53.843658447265625,53.30531311035156,49.37582015991211,49.765316009521484,50.38739776611328,50.88990020751953,50.063880920410156,100,100,100,100,100,100,66.66667175292969,75,11.444865226745605,17179869184,4294967296,12271452160,3364749312
304,1729876411634,3228,3228,3228,3228,3228,3228,3228,3228,51.2553596496582,47.22975540161133,52.104331970214844,53.843658447265625,53.30531311035156,49.37582015991211,49.765316009521484,50.38739776611328,50.88990020751953,50.063880920410156,100,100,100,100,100,100,100,NaN,11.444865226745605,17179869184,4294967296,12267208704,3364749312
300,1729876411939,3228,3228,3228,3228,3228,3228,3228,3228,51.2553596496582,47.22975540161133,52.104331970214844,53.843658447265625,53.30531311035156,49.37582015991211,49.765316009521484,50.38739776611328,50.88990020751953,50.063880920410156,90.32257843017578,90.625,100,100,100,96.66666412353516,100,93.54838562011719,11.444865226745605,17179869184,4294967296,12222021632,3364749312
302,1729876412240,3228,3228,3228,3228,3228,3228,3228,3228,51.2553596496582,47.22975540161133,52.104331970214844,53.843658447265625,53.30531311035156,49.37582015991211,49.765316009521484,50.38739776611328,50.88990020751953,50.063880920410156,31.034481048583984,31.034481048583984,53.333335876464844,53.333335876464844,33.333335876464844,36.66666793823242,16.666667938232422,6.6666669845581055,14.591890335083008,17179869184,4294967296,12277694464,3364749312
300,1729876412543,3228,3228,3228,3228,3228,3228,3228,3228,51.2553596496582,47.22975540161133,52.104331970214844,53.843658447265625,53.30531311035156,49.37582015991211,49.765316009521484,50.38739776611328,50.88990020751953,50.063880920410156,26.666667938232422,35.48387145996094,23.33333396911621,61.29032516479492,20,12.90322494506836,3.22580623626709,3.3333334922790527,14.591890335083008,17179869184,4294967296,12306464768,3364749312
303,1729876412844,3228,3228,3228,3228,3228,3228,3228,3228,53.203609466552734,49.1807861328125,56.15452575683594,58.72003936767578,55.283416748046875,51.1682014465332,53.62335968017578,54.081390380859375,52.9998664855957,51.400733947753906,40,34.482757568359375,62.06896209716797,41.379310607910156,40,48.27585983276367,17.241378784179688,23.33333396911621,14.591890335083008,17179869184,4294967296,12321079296,3364749312
304,1729876413147,3228,3228,3228,3228,3228,3228,3228,3228,53.203609466552734,49.1807861328125,56.15452575683594,58.72003936767578,55.283416748046875,51.1682014465332,53.62335968017578,54.081390380859375,52.9998664855957,51.400733947753906,26.666667938232422,23.33333396911621,64.51612854003906,58.06451416015625,29.032257080078125,36.66666793823242,12.90322494506836,3.3333334922790527,17.612384796142578,17179869184,4294967296,12314951680,3364749312
303,1729876413452,3228,3228,3228,3228,3228,3228,3228,3228,53.203609466552734,49.1807861328125,56.15452575683594,58.72003936767578,55.283416748046875,51.1682014465332,53.62335968017578,54.081390380859375,52.9998664855957,51.400733947753906,41.935482025146484,41.935482025146484,45.16128921508789,50,25.80644989013672,19.35483741760254,10,6.6666669845581055,17.612384796142578,17179869184,4294967296,12340936704,3364749312
304,1729876413756,3228,3228,3228,3228,3228,3228,3228,3228,52.7331428527832,49.126686096191406,56.05524444580078,57.70071029663086,54.31940460205078,50.7476921081543,53.312801361083984,53.24068832397461,52.337860107421875,51.25096130371094,93.10344696044922,90,89.6551742553711,86.66666412353516,82.75862121582031,87.09677124023438,76.66666412353516,74.19355010986328,17.612384796142578,17179869184,4294967296,12351651840,3364749312
306,1729876414061,3228,3228,3228,3228,3228,3228,3228,3228,52.7331428527832,49.126686096191406,56.05524444580078,57.70071029663086,54.31940460205078,50.7476921081543,53.312801361083984,53.24068832397461,52.337860107421875,51.25096130371094,96.7741928100586,100,96.7741928100586,100,100,100,96.7741928100586,96.7741928100586,18.898462295532227,17179869184,4294967296,12351651840,3364749312
304,1729876414368,3228,3228,3228,3228,3228,3228,3228,3228,52.7331428527832,49.126686096191406,56.05524444580078,57.70071029663086,54.31940460205078,50.7476921081543,53.312801361083984,53.24068832397461,52.337860107421875,51.25096130371094,100,100,96.7741928100586,93.75,93.75,96.7741928100586,96.7741928100586,96.7741928100586,18.898462295532227,17179869184,4294967296,12351651840,3364749312
304,1729876414672,3228,3228,3228,3228,3228,3228,3228,3228,57.22476577758789,55.906517028808594,61.9263916015625,64.91151428222656,61.26087188720703,55.747283935546875,63.502593994140625,64.4232177734375,61.58407974243164,57.69548797607422,56.66666793823242,60.000003814697266,62.06896209716797,63.33333206176758,60.000003814697266,60.000003814697266,43.33333206176758,40,18.898462295532227,17179869184,4294967296,12498763776,3364749312
300,1729876414976,3228,3228,3228,3228,3228,3228,3228,3228,57.22476577758789,55.906517028808594,61.9263916015625,64.91151428222656,61.26087188720703,55.747283935546875,63.502593994140625,64.4232177734375,61.58407974243164,57.69548797607422,93.33333587646484,90.32257843017578,80.6451644897461,76.66666412353516,66.66667175292969,68.75,61.29032516479492,56.66666793823242,18.898462295532227,17179869184,4294967296,12756664320,3364749312
301,1729876415277,3228,3228,3228,3228,3228,3228,3228,3228,57.22476577758789,55.906517028808594,61.9263916015625,64.91151428222656,61.26087188720703,55.747283935546875,63.502593994140625,64.4232177734375,61.58407974243164,57.69548797607422,93.33333587646484,96.55171966552734,72.41378784179688,62.06896209716797,56.66666793823242,57.142860412597656,44.82758712768555,37.931034088134766,21.307626724243164,17179869184,4294967296,13158940672,3364749312
299,1729876415579,3228,3228,3228,3228,3228,3228,3228,3228,57.22476577758789,55.906517028808594,61.9263916015625,64.91151428222656,61.26087188720703,55.747283935546875,63.502593994140625,64.4232177734375,61.58407974243164,57.69548797607422,96.7741928100586,96.7741928100586,76.66666412353516,58.06451416015625,50,54.83871078491211,46.66666793823242,45.16128921508789,21.307626724243164,17179869184,4294967296,13579616256,3364749312
301,1729876415879,3228,3228,3228,3228,3228,3228,3228,3228,54.75727081298828,52.895240783691406,56.850791931152344,58.9653205871582,57.046363830566406,53.23637771606445,57.6826171875,57.881134033203125,57.275856018066406,54.828529357910156,93.10344696044922,93.10344696044922,80,67.85713958740234,58.620689392089844,73.33333587646484,62.06896209716797,55.17241287231445,21.307626724243164,17179869184,4294967296,13747781632,3450470400
306,1729876416181,3228,3228,3228,3228,3228,3228,3228,3228,54.75727081298828,52.895240783691406,56.850791931152344,58.9653205871582,57.046363830566406,53.23637771606445,57.6826171875,57.881134033203125,57.275856018066406,54.828529357910156,90,90,80,67.74193572998047,56.66666793823242,71.42857360839844,51.61289978027344,46.66666793823242,30.359315872192383,17179869184,4294967296,13756317696,3702784000
292,1729876416496,3228,3228,3228,3228,3228,3228,3228,3228,54.75727081298828,52.895240783691406,56.850791931152344,58.9653205871582,57.046363830566406,53.23637771606445,57.6826171875,57.881134033203125,57.275856018066406,54.828529357910156,96.7741928100586,93.75,93.33333587646484,87.09677124023438,83.87096405029297,87.5,83.33332824707031,78.125,30.359315872192383,17179869184,4294967296,13772341248,4064739328
301,1729876416788,3228,3228,3228,3228,3228,3228,3228,3228,55.26312255859375,53.51206970214844,57.644630432128906,60.07117462158203,57.769737243652344,53.510623931884766,58.98236083984375,59.125526428222656,58.03754806518555,55.493568420410156,93.33333587646484,96.55171966552734,93.54838562011719,96.55171966552734,93.33333587646484,93.10344696044922,93.33333587646484,92.85713958740234,30.359315872192383,17179869184,5368709120,13766246400,4290772992
303,1729876417091,3228,3228,3228,3228,3228,3228,3228,3228,55.26312255859375,53.51206970214844,57.644630432128906,60.07117462158203,57.769737243652344,53.510623931884766,58.98236083984375,59.125526428222656,58.03754806518555,55.493568420410156,96.66666412353516,96.66666412353516,100,96.66666412353516,96.66666412353516,96.66666412353516,93.33333587646484,93.54838562011719,22.315818786621094,17179869184,5368709120,13790937088,4475912192
300,1729876417394,3228,3228,3228,3228,3228,3228,3228,3228,55.26312255859375,53.51206970214844,57.644630432128906,60.07117462158203,57.769737243652344,53.510623931884766,58.98236083984375,59.125526428222656,58.03754806518555,55.493568420410156,96.66666412353516,96.7741928100586,96.7741928100586,100,100,96.7741928100586,100,96.7741928100586,22.315818786621094,17179869184,5368709120,13604503552,4612620288
