__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_56_repetition_14,TODO,fillna,Modin,Large, , , , 
run_56_repetition_17,TODO,fillna,Modin,Large, , , , 
run_6_repetition_12,TODO,isna,Polars,Large, , , , 
run_22_repetition_18,TODO,groupby,Polars,Large, , , , 
run_10_repetition_16,TODO,replace,Dask,Large, , , , 
run_59_repetition_4,TODO,fillna,Dask,Small, , , , 
run_9_repetition_4,TODO,replace,Modin,Small, , , , 
run_63_repetition_18,TODO,fillna,Polars,Small, , , , 
run_67_repetition_3,TODO,concat,Dask,Small, , , , 
run_3_repetition_18,TODO,isna,Dask,Small, , , , 
run_38_repetition_5,TODO,mean,Polars,Large, , , , 
run_41_repetition_19,TODO,drop,Modin,Small, , , , 
run_2_repetition_2,TODO,isna,Dask,Large, , , , 
run_2_repetition_14,TODO,isna,Dask,Large, , , , 
run_22_repetition_2,TODO,groupby,Polars,Large, , , , 
run_32_repetition_6,TODO,mean,Modin,Large, , , , 
run_48_repetition_13,TODO,dropna,Modin,Large, , , , 
run_69_repetition_16,TODO,concat,Pandas,Small, , , , 
run_66_repetition_5,TODO,concat,Dask,Large, , , , 
run_29_repetition_17,TODO,sort,Pandas,Small, , , , 
run_59_repetition_3,TODO,fillna,Dask,Small, , , , 
run_71_repetition_14,TODO,concat,Polars,Small, , , , 
run_27_repetition_1,TODO,sort,Dask,Small, , , , 
run_32_repetition_10,TODO,mean,Modin,Large, , , , 
run_56_repetition_16,TODO,fillna,Modin,Large, , , , 
run_36_repetition_18,TODO,mean,Pandas,Large, , , , 
run_9_repetition_6,TODO,replace,Modin,Small, , , , 
run_26_repetition_11,TODO,sort,Dask,Large, , , , 
run_20_repetition_2,TODO,groupby,Pandas,Large, , , , 
run_17_repetition_4,TODO,groupby,Modin,Small, , , , 
run_69_repetition_3,TODO,concat,Pandas,Small, , , , 
run_41_repetition_5,TODO,drop,Modin,Small, , , , 
run_33_repetition_11,TODO,mean,Modin,Small, , , , 
run_24_repetition_14,TODO,sort,Modin,Large, , , , 
run_21_repetition_15,TODO,groupby,Pandas,Small, , , , 
run_66_repetition_7,TODO,concat,Dask,Large, , , , 
run_7_repetition_5,TODO,isna,Polars,Small, , , , 
run_1_repetition_18,TODO,isna,Modin,Small, , , , 
run_44_repetition_0,TODO,drop,Pandas,Large, , , , 
run_5_repetition_5,TODO,isna,Pandas,Small, , , , 
run_25_repetition_17,TODO,sort,Modin,Small, , , , 
run_41_repetition_14,TODO,drop,Modin,Small, , , , 
run_27_repetition_14,TODO,sort,Dask,Small, , , , 
run_17_repetition_2,TODO,groupby,Modin,Small, , , , 
run_20_repetition_15,TODO,groupby,Pandas,Large, , , , 
run_66_repetition_8,TODO,concat,Dask,Large, , , , 
run_10_repetition_1,TODO,replace,Dask,Large, , , , 
run_24_repetition_9,TODO,sort,Modin,Large, , , , 
run_5_repetition_4,TODO,isna,Pandas,Small, , , , 
run_38_repetition_10,TODO,mean,Polars,Large, , , , 
run_3_repetition_2,TODO,isna,Dask,Small, , , , 
run_14_repetition_13,TODO,replace,Polars,Large, , , , 
run_6_repetition_14,TODO,isna,Polars,Large, , , , 
run_34_repetition_4,TODO,mean,Dask,Large, , , , 
run_30_repetition_17,TODO,sort,Polars,Large, , , , 
run_17_repetition_7,TODO,groupby,Modin,Small, , , , 
run_71_repetition_15,TODO,concat,Polars,Small, , , , 
run_62_repetition_17,TODO,fillna,Polars,Large, , , , 
run_38_repetition_19,TODO,mean,Polars,Large, , , , 
run_33_repetition_8,TODO,mean,Modin,Small, , , , 
run_12_repetition_5,TODO,replace,Pandas,Large, , , , 
run_20_repetition_5,TODO,groupby,Pandas,Large, , , , 
run_18_repetition_19,TODO,groupby,Dask,Large, , , , 
run_29_repetition_8,TODO,sort,Pandas,Small, , , , 
run_44_repetition_6,TODO,drop,Pandas,Large, , , , 
run_17_repetition_11,TODO,groupby,Modin,Small, , , , 
run_52_repetition_15,TODO,dropna,Pandas,Large, , , , 
run_16_repetition_2,TODO,groupby,Modin,Large, , , , 
run_68_repetition_16,TODO,concat,Pandas,Large, , , , 
run_29_repetition_10,TODO,sort,Pandas,Small, , , , 
run_33_repetition_12,TODO,mean,Modin,Small, , , , 
run_23_repetition_11,TODO,groupby,Polars,Small, , , , 
run_48_repetition_11,TODO,dropna,Modin,Large, , , , 
run_60_repetition_10,TODO,fillna,Pandas,Large, , , , 
run_12_repetition_4,TODO,replace,Pandas,Large, , , , 
run_4_repetition_2,TODO,isna,Pandas,Large, , , , 
run_40_repetition_1,TODO,drop,Modin,Large, , , , 
run_31_repetition_11,TODO,sort,Polars,Small, , , , 
run_33_repetition_6,TODO,mean,Modin,Small, , , , 
run_22_repetition_10,TODO,groupby,Polars,Large, , , , 
run_54_repetition_8,TODO,dropna,Polars,Large, , , , 
run_55_repetition_0,TODO,dropna,Polars,Small, , , , 
run_37_repetition_18,TODO,mean,Pandas,Small, , , , 
run_61_repetition_0,TODO,fillna,Pandas,Small, , , , 
run_35_repetition_5,TODO,mean,Dask,Small, , , , 
run_27_repetition_8,TODO,sort,Dask,Small, , , , 
run_1_repetition_12,TODO,isna,Modin,Small, , , , 
run_36_repetition_1,TODO,mean,Pandas,Large, , , , 
run_64_repetition_16,TODO,concat,Modin,Large, , , , 
run_0_repetition_1,TODO,isna,Modin,Large, , , , 
run_7_repetition_7,TODO,isna,Polars,Small, , , , 
run_29_repetition_0,TODO,sort,Pandas,Small, , , , 
run_18_repetition_5,TODO,groupby,Dask,Large, , , , 
run_62_repetition_11,TODO,fillna,Polars,Large, , , , 
run_34_repetition_2,TODO,mean,Dask,Large, , , , 
run_62_repetition_13,TODO,fillna,Polars,Large, , , , 
run_29_repetition_7,TODO,sort,Pandas,Small, , , , 
run_41_repetition_13,TODO,drop,Modin,Small, , , , 
run_39_repetition_18,TODO,mean,Polars,Small, , , , 
run_57_repetition_8,TODO,fillna,Modin,Small, , , , 
run_28_repetition_7,TODO,sort,Pandas,Large, , , , 
run_35_repetition_3,TODO,mean,Dask,Small, , , , 
run_8_repetition_11,TODO,replace,Modin,Large, , , , 
run_7_repetition_6,TODO,isna,Polars,Small, , , , 
run_30_repetition_5,TODO,sort,Polars,Large, , , , 
run_32_repetition_2,TODO,mean,Modin,Large, , , , 
run_2_repetition_6,TODO,isna,Dask,Large, , , , 
run_57_repetition_1,TODO,fillna,Modin,Small, , , , 
run_23_repetition_19,TODO,groupby,Polars,Small, , , , 
run_10_repetition_9,TODO,replace,Dask,Large, , , , 
run_12_repetition_1,TODO,replace,Pandas,Large, , , , 
